user_id,screen_name,id,text,retweet_count,favorite_count,name,gender,party
16256269,virginiafoxx,9.61624E+17,Enjoyed hearing such inspirational words from my friend @SteveScalise this morning at the #NationalPrayerBreakfast. https://t.co/xo6F02t0Pa,15,149,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.60999E+17,RT @DataCoalition: Today the GREAT Act was favorably reported out of the @GOPoversight and will now move to the House floor for a vote. Tha…,4,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,7.2069E+17,On Monday I stopped by Wilkesboro Elementary School to visit with 5th grade students. We… https://t.co/5icjj5jruz,0,3,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.59134E+17,RT @milann_99: A special Thank You from North Carolina and @NFB_voice to @RepMarkWalker and @virginiafoxx for meeting with us to discuss ho…,5,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.5877E+17,RT @SpeakerRyan: Today’s incident was a terrible tragedy. We are grateful for the first responders who rushed to the scene and we pray for…,3136,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58558E+17,"It is so clear to me, that this President loves this country and the people of this country. #SOTU https://t.co/LjdWezm5cB",16,59,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58545E+17,"The State of Our Union is strong, because our people are strong. Great #SOTU, Mr. President! https://t.co/YPWObjH5Xo",24,44,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58543E+17,Proud to join my colleagues during #SOTU in chanting #USA!!!,6,36,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58539E+17,"RT @WhiteHouse: ""Terrorists are not merely criminals. They are unlawful enemy combatants. And when captured overseas, they should be treate…",1368,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58539E+17,"I strongly agree w/ @POTUS, “  Terrorists who do things like place bombs in civilian hospitals are evil.  When poss… https://t.co/dvTaAQVtZB",5,17,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58538E+17,".@POTUS, “For this reason, I am asking the Congress to end the dangerous defense sequester and fully fund our great military.” #SOTU",3,10,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58533E+17,"RT @PressSec: .@POTUS: ""We want every American to know the dignity of a hard day’s work.  We want every child to be safe in their home at n…",5575,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58533E+17,".@POTUS, “The United States is a compassionate nation.  We are proud that we do more than any other country to help… https://t.co/sUV9mzIxzA",3,11,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58532E+17,"Couldn’t agree with @POTUS more, “Let us open great vocational schools so our future workers can learn a craft and… https://t.co/TBCjx5fh67",11,28,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.58532E+17,"Glad to hear @POTUS say, We want every American to know the dignity of a hard day's work.  We want every child to b… https://t.co/WOgvkc9CP8",9,22,Virginia Ann Foxx,female,republican
